Module                  Size  Used by
snd_soc_core          425984  10 snd_soc_avs,snd_soc_hda_codec,soundwire_intel,snd_sof,snd_soc_intel_sof_board_helpers,snd_sof_intel_hda_common,snd_soc_hdac_hda,snd_sof_probes,snd_soc_dmic,snd_soc_skl_hda_dsp
snd_compress           36864  3 snd_soc_avs,snd_soc_core,snd_sof_probes
intel_uncore_frequency    12288  0
ac97_bus               12288  1 snd_soc_core
intel_uncore_frequency_common    16384  1 intel_uncore_frequency
snd_pcm_dmaengine      16384  1 snd_soc_core
intel_tcc_cooling      12288  0
x86_pkg_temp_thermal    20480  0
snd_hda_intel          61440  0
snd_intel_dspcfg       45056  5 snd_soc_avs,snd_hda_intel,snd_sof,snd_sof_intel_hda_common,snd_sof_intel_hda_generic
snd_intel_sdw_acpi     16384  2 snd_intel_dspcfg,snd_sof_intel_hda_generic
intel_powerclamp       24576  0
snd_hda_codec         204800  10 snd_hda_codec_generic,snd_soc_avs,snd_hda_codec_hdmi,snd_soc_hda_codec,snd_hda_intel,snd_hda_codec_realtek,snd_soc_intel_hda_dsp_common,snd_soc_hdac_hda,snd_sof_intel_hda,snd_soc_skl_hda_dsp
coretemp               24576  0
iwlmvm                909312  0
snd_hda_core          147456  12 snd_hda_codec_generic,snd_soc_avs,snd_hda_codec_hdmi,snd_soc_hda_codec,snd_hda_intel,snd_hda_ext_core,snd_hda_codec,snd_hda_codec_realtek,snd_soc_intel_hda_dsp_common,snd_sof_intel_hda_common,snd_soc_hdac_hda,snd_sof_intel_hda
kvm_intel             487424  0
i915                 4702208  35
mac80211             1814528  1 iwlmvm
snd_hwdep              20480  1 snd_hda_codec
snd_pcm               192512  13 snd_soc_avs,snd_hda_codec_hdmi,snd_hda_intel,snd_hda_codec,soundwire_intel,snd_sof,snd_sof_intel_hda_common,snd_compress,snd_sof_intel_hda_generic,snd_soc_core,snd_sof_utils,snd_hda_core,snd_pcm_dmaengine
snd_ctl_led            24576  0
kvm                  1425408  1 kvm_intel
cmdlinepart            16384  0
snd_seq_midi           24576  0
spi_nor               163840  0
snd_seq_midi_event     16384  1 snd_seq_midi
libarc4                12288  1 mac80211
uvcvideo              143360  0
mtd                    98304  3 spi_nor,cmdlinepart
irqbypass              12288  1 kvm
mei_pxp                16384  0
mei_hdcp               28672  0
snd_rawmidi            57344  1 snd_seq_midi
intel_rapl_msr         20480  0
btusb                  73728  0
polyval_clmulni        12288  0
videobuf2_vmalloc      20480  1 uvcvideo
snd_seq               122880  9 snd_seq_midi,snd_seq_midi_event,snd_seq_dummy
uvc                    12288  1 uvcvideo
polyval_generic        12288  1 polyval_clmulni
btrtl                  32768  1 btusb
videobuf2_memops       16384  1 videobuf2_vmalloc
ghash_clmulni_intel    16384  0
videobuf2_v4l2         36864  1 uvcvideo
drm_buddy              24576  2 xe,i915
btintel                69632  1 btusb
sha256_ssse3           32768  0
ttm                   118784  3 drm_ttm_helper,xe,i915
snd_seq_device         16384  3 snd_seq,snd_seq_midi,snd_rawmidi
sha1_ssse3             32768  0
processor_thermal_device_pci    16384  0
aesni_intel           122880  7
videobuf2_common       86016  4 videobuf2_vmalloc,videobuf2_v4l2,uvcvideo,videobuf2_memops
btbcm                  24576  1 btusb
processor_thermal_device    20480  1 processor_thermal_device_pci
iwlwifi               659456  1 iwlmvm
snd_timer              53248  3 snd_seq,snd_hrtimer,snd_pcm
drm_display_helper    278528  2 xe,i915
btmtk                  36864  1 btusb
crypto_simd            16384  1 aesni_intel
hid_sensor_custom_intel_hinge    12288  0
mfd_aaeon              12288  0
asus_nb_wmi            32768  0
hid_sensor_als         16384  1
hid_sensor_accel_3d    16384  1
videodev              360448  2 videobuf2_v4l2,uvcvideo
processor_thermal_wt_hint    16384  2 processor_thermal_device_pci,processor_thermal_device
cryptd                 24576  3 crypto_simd,ghash_clmulni_intel
hid_sensor_trigger     20480  7 hid_sensor_custom_intel_hinge,hid_sensor_als,hid_sensor_accel_3d
processor_thermal_rfim    40960  1 processor_thermal_device
asus_wmi               98304  2 asus_nb_wmi,mfd_aaeon
cec                    94208  3 drm_display_helper,xe,i915
industrialio_triggered_buffer    12288  1 hid_sensor_trigger
rapl                   20480  0
kfifo_buf              12288  1 industrialio_triggered_buffer
processor_thermal_rapl    16384  1 processor_thermal_device
intel_cstate           20480  0
mc                     81920  4 videodev,videobuf2_v4l2,uvcvideo,videobuf2_common
wmi_bmof               12288  0
bluetooth            1011712  34 btrtl,btmtk,btintel,btbcm,bnep,btusb,rfcomm
platform_profile       20480  1 asus_wmi
cfg80211             1437696  3 iwlmvm,iwlwifi,mac80211
intel_rapl_common      53248  2 intel_rapl_msr,processor_thermal_rapl
hid_sensor_iio_common    24576  4 hid_sensor_trigger,hid_sensor_custom_intel_hinge,hid_sensor_als,hid_sensor_accel_3d
snd                   143360  25 snd_ctl_led,snd_hda_codec_generic,snd_seq,snd_seq_device,snd_hda_codec_hdmi,snd_hwdep,snd_hda_intel,snd_hda_codec,snd_hda_codec_realtek,snd_sof,snd_timer,snd_compress,snd_soc_core,snd_pcm,snd_rawmidi
processor_thermal_wt_req    12288  1 processor_thermal_device
i2c_i801               36864  0
rc_core                73728  1 cec
mei_me                 53248  2
i2c_smbus              20480  1 i2c_i801
processor_thermal_power_floor    12288  2 processor_thermal_device_pci,processor_thermal_device
spi_intel_pci          12288  0
industrialio          143360  8 industrialio_triggered_buffer,hid_sensor_trigger,hid_sensor_custom_intel_hinge,kfifo_buf,hid_sensor_als,hid_sensor_accel_3d
mei                   172032  5 mei_hdcp,mei_pxp,mei_me
i2c_algo_bit           16384  2 xe,i915
soundcore              16384  2 snd_ctl_led,snd
spi_intel              36864  1 spi_intel_pci
i2c_mux                16384  1 i2c_i801
igen6_edac             28672  0
processor_thermal_mbox    12288  4 processor_thermal_power_floor,processor_thermal_wt_req,processor_thermal_rfim,processor_thermal_wt_hint
intel_pmc_core        122880  0
joydev                 32768  0
pmt_telemetry          16384  1 intel_pmc_core
pmt_class              16384  1 pmt_telemetry
int3400_thermal        24576  0
int3403_thermal        16384  0
soc_button_array       24576  0
input_leds             12288  0
int340x_thermal_zone    16384  2 int3403_thermal,processor_thermal_device
intel_vsec             20480  2 intel_pmc_core,xe
intel_hid              32768  0
acpi_thermal_rel       20480  1 int3400_thermal
sparse_keymap          12288  2 intel_hid,asus_wmi
acpi_pad              184320  0
acpi_tad               20480  0
mac_hid                12288  0
serio_raw              20480  0
sch_fq_codel           24576  1
msr                    12288  0
parport_pc             53248  0
ppdev                  24576  0
lp                     28672  0
parport                73728  3 parport_pc,lp,ppdev
efi_pstore             12288  0
nfnetlink              20480  3 nft_compat,nf_tables
dmi_sysfs              24576  0
ip_tables              32768  0
x_tables               65536  7 xt_conntrack,nft_compat,xt_tcpudp,xt_CHECKSUM,ipt_REJECT,ip_tables,xt_MASQUERADE
autofs4                57344  2
hid_sensor_custom      28672  0
hid_sensor_hub         28672  6 hid_sensor_trigger,hid_sensor_iio_common,hid_sensor_custom_intel_hinge,hid_sensor_als,hid_sensor_accel_3d,hid_sensor_custom
intel_ishtp_hid        32768  0
nvme                   61440  2
nvme_core             225280  3 nvme
hid_multitouch         36864  0
hid_generic            12288  0
nvme_auth              28672  1 nvme_core
intel_lpss_pci         28672  0
ucsi_acpi              12288  0
thunderbolt           536576  0
intel_ish_ipc          36864  0
intel_lpss             12288  1 intel_lpss_pci
i2c_hid_acpi           12288  0
typec_ucsi             65536  1 ucsi_acpi
intel_ishtp            73728  2 intel_ishtp_hid,intel_ish_ipc
vmd                    24576  0
idma64                 20480  0
i2c_hid                40960  1 i2c_hid_acpi
typec                 118784  1 typec_ucsi
hid                   262144  5 i2c_hid,hid_multitouch,hid_sensor_hub,intel_ishtp_hid,hid_generic
video                  77824  4 asus_wmi,asus_nb_wmi,xe,i915
wmi                    28672  4 video,asus_wmi,wmi_bmof,mfd_aaeon
pinctrl_tigerlake      28672  1
